name,max seats,price per plate,stars,views,min seats,region
chi kitchen and bar,20,400,3.5,1349,20,south delhi
moksha,30,750,3,1143,2,south delhi
hotel nice palace,70,600,3.5,1059,2,central delhi
relax express,35,300,3.5,1444,2,south delhi
dragonfly experience,180,2000,3.5,200,10,north east delhi
delhi 15 resto bar,70,350,3,1430,35,west delhi
sampan,30,2000,3,1062,2,south delhi
the mustang cafe,20,300,4,200,5,north west delhi
epic kitchen n bar,100,750,2,99,10,north east delhi
lazeez affaire,70,1600,3.6,300,2,central delhi
ivy and bean,70,750,3.2,1000,30,south delhi
art chilli,60,500,3.4,1626,2,south delhi
uncultured cafe and bar,100,1500,3.2,700,10,south delhi
embassy restaurant,50,500,3.2,1517,2,central delhi
ho shi nian nian,100,800,4,1350,10,south delhi
tc restaurant and bar ,50,750,3.2,1260,2,south delhi
pure punjab,50,450,3.3,1126,10,south east delhi
tandoor,70,300,3.6,2267,20,west delhi
londoners bistro and pub,180,1700,3.7,300,20,south delhi
hotel blue berry,100,850,3.4,1057,10,central delhi
oggy and dobby,60,500,3.4,1792,10,south delhi
caspia hotel,80,1200,4,300,2,north west delhi
tabula beach cafe,50,750,3,831,2,north east delhi
imperfecto,230,600,3.8,2446,10,south delhi
the pavilion,300,500,3.6,3888,30,south west delhi
majilis e mughal,70,900,3.3,561,10,south west delhi
the crude house cafe,90,1300,3,481,12,south west delhi
madarin court,50,850,3.2,968,15,south delhi
smokey grill,100,350,3,1107,30,south delhi
tippling street  ,100,1000,4,1225,15,west delhi
palomino restaurant,100,1000,4,461,20,east delhi
361 restaurant and banquet,50,400,3.2,2540,2,north west delhi
era bar and lounge,120,1600,4,504,2,central delhi
the marketplace,60,630,4,178,20,west delhi
pebble street,30,750,4,1423,15,south delhi
shikara,100,800,3,1280,5,south delhi
jamun,250,1000,4,537,10,south delhi
kala svasti,150,650,3.9,213,50,central delhi
brew cafe,25,400,4.2,420,5,south delhi
dsoi banquet,500,800,4,6194,50,south west delhi
plum by bent chair ,50,1500,4,74,10,central delhi
lotusleaf,100,750,4,1130,2,north west delhi
kitchen of awadh,80,750,3.4,1199,20,south delhi
romeo lane,150,1000,3,1302,10,central delhi
only bar,80,500,4,166,2,south east delhi
sura vie,120,1200,4,1503,10,west delhi
somkey bbq and grill,120,2100,3,196,5,south east delhi
auro kitchen and bar,120,1500,4,467,15,south delhi
the flying saucer cafe,120,800,4,1028,10,south east delhi
royal plaza,75,2000,4,333,2,north east delhi
ambika palace,45,800,3,1194,10,west delhi
4Sbar,40,1000,3,1506,20,south east delhi
the park,75,2200,4,1208,2,central delhi
zen ,50,750,3,1331,10,central delhi
joy luck moon,100,750,3,1043,10,south delhi
diggin indoor,50,1100,4,182,5,south delhi
smoke house deli,120,1100,3,1265,25,south delhi
funky kingdom,60,400,3.3,4679,15,west delhi
fortune park boulevard,100,1000,4,926,10,south west delhi
barrels,50,800,2,937,10,south west delhi
royal garden,800,850,3,2691,200,west delhi
adyar ananda bhavan,30,400,3,1755,3,south delhi
amici,50,550,3,1288,50,south east delhi
harrys,20,750,3,632,10,south delhi
ignis restaurant & bar,80,600,3,550,10,central delhi
detroit,150,1800,4.7,214,10,central delhi
kurry with karan,40,350,2,58,10,north west delhi
the electric room,60,2600,3,40,20,south delhi
raasta,60,750,3,1372,3,south delhi
bae teh bistro,60,700,2,11,15,south delhi
judge and jury,50,1200,2,10,15,north east delhi
pub ji,50,900,2,12,15,west delhi
pummy food zone,40,200,2.9,480,5,east delhi
teo lounge and bar,60,1800,2,11,10,west delhi
runway 1,175,900,2,13,50,north west delhi
dramebaaz,100,1450,3,972,3,north west delhi
public house,80,800,4,445,3,north west delhi
dubai bining,30,700,3,176,8,north west delhi
piranha lounge and bar,120,950,4,2258,15,north west delhi
oye punjab,80,750,2,10,30,south west delhi
la kababiyaa,70,700,2,10,30,south west delhi
hotel emarald,50,800,3,388,5,central delhi
the icon conventions and banquet,1000,1450,4,2105,200,south delhi
hotel enternity,100,800,3.8,3844,50,west delhi
palm springs hotel,450,1300,4,2473,20,south west delhi
lemon tree premier,160,1600,4,2977,10,south west delhi
